case_id,target_operation,gas_budget,calls,samples,median_ms,min_ms,max_ms,us_per_call
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod_arithmetic[fork_Osaka--opcode_ADDMOD-mod_bits_127-benchmark-gas-value_120M],ADDMOD,120000000,8540902,40,247.030,244.513,258.470,0.029
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod_arithmetic[fork_Osaka--opcode_ADDMOD-mod_bits_191-benchmark-gas-value_120M],ADDMOD,120000000,8540846,40,316.601,311.456,330.256,0.037
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod_arithmetic[fork_Osaka--opcode_ADDMOD-mod_bits_255-benchmark-gas-value_120M],ADDMOD,120000000,8540790,40,273.326,269.779,281.387,0.032
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod_arithmetic[fork_Osaka--opcode_ADDMOD-mod_bits_63-benchmark-gas-value_120M],ADDMOD,120000000,8540958,40,235.108,233.188,247.417,0.028
tests/benchmark/compute/precompile/test_blake2f.py::test_blake2f_benchmark[fork_Osaka--num_rounds_1-benchmark-gas-value_120M],BLAKE2F,120000000,1006825,40,180.141,174.112,189.640,0.179
tests/benchmark/compute/precompile/test_blake2f.py::test_blake2f_benchmark[fork_Osaka--num_rounds_12-benchmark-gas-value_120M],BLAKE2F,120000000,921630,40,250.226,243.465,259.034,0.272
tests/benchmark/compute/precompile/test_blake2f.py::test_blake2f_benchmark[fork_Osaka--num_rounds_24-benchmark-gas-value_120M],BLAKE2F,120000000,843751,40,316.123,308.992,324.088,0.375
tests/benchmark/compute/precompile/test_blake2f.py::test_blake2f_benchmark[fork_Osaka--num_rounds_6-benchmark-gas-value_120M],BLAKE2F,120000000,966226,40,213.909,207.318,220.830,0.221
tests/benchmark/compute/precompile/test_bls12_381.py::test_bls12_381[fork_Osaka--bls12_g1add-benchmark-gas-value_120M],BLS12_G1ADD,120000000,243009,40,521.183,518.502,530.238,2.145
tests/benchmark/compute/precompile/test_bls12_381.py::test_bls12_381[fork_Osaka--bls12_g2add-benchmark-gas-value_120M],BLS12_G2ADD,120000000,166822,40,538.401,535.966,544.177,3.227
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128[fork_Osaka--bn128_add-benchmark-gas-value_120M],BN128_ADD,120000000,447062,40,750.621,746.317,760.022,1.679
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128[fork_Osaka--bn128_add_1_2-benchmark-gas-value_120M],BN128_ADD,120000000,447110,40,862.088,857.180,870.311,1.928
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128[fork_Osaka--bn128_add_infinities-benchmark-gas-value_120M],BN128_ADD,120000000,447110,40,88.701,85.797,94.132,0.198
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128[fork_Osaka--bn128_add_negative-benchmark-gas-value_120M],BN128_ADD,120000000,447062,40,161.487,157.739,165.546,0.361
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128[fork_Osaka--bn128_double-benchmark-gas-value_120M],BN128_ADD,120000000,447062,40,763.610,760.203,772.158,1.708
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128_uncachable[fork_Osaka--ec_add-benchmark-gas-value_120M],BN128_ADD,120000000,406148,40,1548.872,1542.840,1573.229,3.814
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka--num_pairs_1-benchmark-gas-value_120M],BN128_PAIRING,120000000,1524,40,661.157,651.403,681.707,433.830
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka--num_pairs_12-benchmark-gas-value_120M],BN128_PAIRING,120000000,273,40,728.285,720.029,736.940,2667.711
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka--num_pairs_24-benchmark-gas-value_120M],BN128_PAIRING,120000000,152,40,740.104,732.475,749.566,4869.103
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka--num_pairs_3-benchmark-gas-value_120M],BN128_PAIRING,120000000,824,40,687.848,680.451,698.848,834.767
tests/benchmark/compute/precompile/test_alt_bn128.py::test_alt_bn128_benchmark[fork_Osaka--num_pairs_6-benchmark-gas-value_120M],BN128_PAIRING,120000000,495,40,727.762,722.167,740.305,1470.226
tests/benchmark/compute/precompile/test_alt_bn128.py::test_ec_pairing[fork_Osaka--num_pairs_1-benchmark-gas-value_120M],BN128_PAIRING,120000000,1451,40,744.748,739.128,759.802,513.265
tests/benchmark/compute/precompile/test_alt_bn128.py::test_ec_pairing[fork_Osaka--num_pairs_12-benchmark-gas-value_120M],BN128_PAIRING,120000000,243,40,695.064,688.733,715.060,2860.344
tests/benchmark/compute/precompile/test_alt_bn128.py::test_ec_pairing[fork_Osaka--num_pairs_24-benchmark-gas-value_120M],BN128_PAIRING,120000000,121,40,664.083,658.175,680.542,5488.287
tests/benchmark/compute/precompile/test_alt_bn128.py::test_ec_pairing[fork_Osaka--num_pairs_3-benchmark-gas-value_120M],BN128_PAIRING,120000000,765,40,701.137,694.855,710.229,916.519
tests/benchmark/compute/precompile/test_alt_bn128.py::test_ec_pairing[fork_Osaka--num_pairs_6-benchmark-gas-value_120M],BN128_PAIRING,120000000,443,40,703.541,697.775,713.362,1588.128
tests/benchmark/compute/instruction/test_arithmetic.py::test_arithmetic[fork_Osaka--opcode_DIV-0-benchmark-gas-value_120M],DIV,120000000,14974975,40,403.133,397.386,411.302,0.027
tests/benchmark/compute/instruction/test_arithmetic.py::test_arithmetic[fork_Osaka--opcode_DIV-1-benchmark-gas-value_120M],DIV,120000000,14974975,40,356.286,355.094,385.975,0.024
tests/benchmark/compute/precompile/test_ecrecover.py::test_ecrecover[fork_Osaka--ecrecover-benchmark-gas-value_120M],ECRECOVER,120000000,38275,40,794.776,787.744,802.580,20.765
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_0-mem_size_0-benchmark-gas-value_120M],KECCAK256,120000000,2995604,40,29.359,29.029,32.138,0.010
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_0-mem_size_1024-benchmark-gas-value_120M],KECCAK256,120000000,2995559,40,29.254,29.031,32.268,0.010
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_0-mem_size_256-benchmark-gas-value_120M],KECCAK256,120000000,2995575,40,29.247,29.042,33.043,0.010
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_0-mem_size_32-benchmark-gas-value_120M],KECCAK256,120000000,2995583,40,29.280,29.030,36.138,0.010
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_1024-mem_size_0-benchmark-gas-value_120M],KECCAK256,120000000,516510,40,780.310,775.457,791.216,1.511
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_1024-mem_size_1024-benchmark-gas-value_120M],KECCAK256,120000000,516510,40,780.081,774.723,789.615,1.510
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_1024-mem_size_256-benchmark-gas-value_120M],KECCAK256,120000000,516510,40,780.402,774.975,789.655,1.511
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_1024-mem_size_32-benchmark-gas-value_120M],KECCAK256,120000000,516510,40,781.799,775.649,791.763,1.514
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_256-mem_size_0-benchmark-gas-value_120M],KECCAK256,120000000,1361681,40,543.441,531.038,558.715,0.399
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_256-mem_size_1024-benchmark-gas-value_120M],KECCAK256,120000000,1361666,40,542.193,530.976,554.249,0.398
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_256-mem_size_256-benchmark-gas-value_120M],KECCAK256,120000000,1361673,40,543.100,533.183,568.434,0.399
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_256-mem_size_32-benchmark-gas-value_120M],KECCAK256,120000000,1361673,40,541.800,530.932,554.075,0.398
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_32-mem_size_0-benchmark-gas-value_120M],KECCAK256,120000000,2604897,40,567.059,551.459,581.627,0.218
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_32-mem_size_1024-benchmark-gas-value_120M],KECCAK256,120000000,2604866,40,567.163,552.204,584.586,0.218
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_32-mem_size_256-benchmark-gas-value_120M],KECCAK256,120000000,2604875,40,565.354,551.246,588.690,0.217
tests/benchmark/compute/instruction/test_keccak.py::test_keccak_diff_mem_msg_sizes[fork_Osaka--msg_size_32-mem_size_32-benchmark-gas-value_120M],KECCAK256,120000000,2604882,40,564.652,550.391,581.139,0.217
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod[fork_Osaka--opcode_MOD-mod_bits_127-benchmark-gas-value_120M],MOD,120000000,14956827,40,379.812,376.516,384.429,0.025
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod[fork_Osaka--opcode_MOD-mod_bits_191-benchmark-gas-value_120M],MOD,120000000,14957232,40,500.717,496.810,515.026,0.033
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod[fork_Osaka--opcode_MOD-mod_bits_255-benchmark-gas-value_120M],MOD,120000000,14956543,40,402.043,398.783,416.196,0.027
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod[fork_Osaka--opcode_MOD-mod_bits_63-benchmark-gas-value_120M],MOD,120000000,14956415,40,360.336,358.951,364.722,0.024
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod_arithmetic[fork_Osaka--opcode_MULMOD-mod_bits_127-benchmark-gas-value_120M],MULMOD,120000000,8540902,40,393.093,390.269,402.469,0.046
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod_arithmetic[fork_Osaka--opcode_MULMOD-mod_bits_191-benchmark-gas-value_120M],MULMOD,120000000,8540846,40,555.074,551.438,563.875,0.065
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod_arithmetic[fork_Osaka--opcode_MULMOD-mod_bits_255-benchmark-gas-value_120M],MULMOD,120000000,8540790,40,536.046,531.981,542.141,0.063
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod_arithmetic[fork_Osaka--opcode_MULMOD-mod_bits_63-benchmark-gas-value_120M],MULMOD,120000000,8538941,40,363.757,359.137,368.242,0.043
tests/benchmark/compute/precompile/test_p256verify.py::test_p256verify[fork_Osaka--p256verify-benchmark-gas-value_120M],P256VERIFY,120000000,17078,40,2135.155,2128.136,2172.129,125.024
tests/benchmark/compute/precompile/test_p256verify.py::test_p256verify_uncachable[fork_Osaka--p256verify-benchmark-gas-value_120M],P256VERIFY,120000000,16969,40,2122.883,2116.333,2150.571,125.104
tests/benchmark/compute/precompile/test_point_evaluation.py::test_point_evaluation[fork_Osaka--point_evaluation-benchmark-gas-value_120M],POINT_EVALUATION,120000000,2404,40,1593.593,1586.227,1610.643,662.892
tests/benchmark/compute/precompile/test_point_evaluation.py::test_point_evaluation_uncachable[fork_Osaka--point_evaluation-benchmark-gas-value_120M],POINT_EVALUATION,120000000,2259,40,1507.229,1501.043,1525.657,667.211
tests/benchmark/compute/instruction/test_arithmetic.py::test_arithmetic[fork_Osaka--opcode_SDIV-0-benchmark-gas-value_120M],SDIV,120000000,14974615,40,484.570,480.503,495.632,0.032
tests/benchmark/compute/instruction/test_arithmetic.py::test_arithmetic[fork_Osaka--opcode_SDIV-1-benchmark-gas-value_120M],SDIV,120000000,14974615,40,495.924,490.173,508.510,0.033
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod[fork_Osaka--opcode_SMOD-mod_bits_127-benchmark-gas-value_120M],SMOD,120000000,14956943,40,397.175,392.767,411.462,0.027
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod[fork_Osaka--opcode_SMOD-mod_bits_191-benchmark-gas-value_120M],SMOD,120000000,14956658,40,529.528,521.660,540.246,0.035
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod[fork_Osaka--opcode_SMOD-mod_bits_255-benchmark-gas-value_120M],SMOD,120000000,14956593,40,419.664,414.110,433.612,0.028
tests/benchmark/compute/instruction/test_arithmetic.py::test_mod[fork_Osaka--opcode_SMOD-mod_bits_63-benchmark-gas-value_120M],SMOD,120000000,14955922,40,370.436,368.461,377.160,0.025
tests/benchmark/compute/precompile/test_blake2f.py::test_blake2f_uncachable[fork_Osaka--num_rounds_1-benchmark-gas-value_120M],STATICCALL,120000000,820666,40,164.969,158.451,176.029,0.201
